Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Paul Skenes","PIT",13.217,8.6148,21.1123,2.79807,30.78,30.78,0,0,188.104,759.404,147.001,64.6665,58.481,15.7172,55.0105,,7.5265,242.235,11.5899,2.63202,4.40343,0.752,0.31898,0.072439,0.24654096364974976,0.210946,1.07394,0.299111,0.762997,0.470317,,2.67454,5.78054,5.77048,11.270000457763672,,,,"33677"
"Jacob deGrom","TEX",11.2224,6.7758,16.6092,2.84406,25.92,25.92,0,0,152.018,601.811,115.403,52.1347,48.0385,17.0091,30.0352,,4.924,205.907,12.1904,1.7782,6.85551,1.007,0.342145,0.049908,0.29223693534731865,0.203586,0.956719,0.286081,0.767137,0.382932,,2.60195,5.15873,4.3575,36.20000076293945,,,,"10954"
"Tarik Skubal","DET",13.1976,9.5685,21.6503,2.91406,32,32,0,0,196.234,787.456,160.274,69.7832,63.5375,19.7978,45.0567,,7.9927,229.136,10.509,2.06646,5.08551,0.908,0.290983,0.0572181,0.23376493528485298,0.218236,1.04635,0.289359,0.763158,0.435915,,2.95371,5.0392,5.11268,13.270000457763672,,,,"22267"
"Garrett Crochet","BOS",12.3528,8.451,17.3807,3.0374,30.78,30.78,0,0,170.138,684.11,133.009,62.6341,57.4197,16.6357,51.6777,,6.5401,220.433,11.6605,2.73366,4.26554,0.88,0.322219,0.07554,0.2466789111495018,0.212511,1.08551,0.299295,0.756227,0.439859,,2.8729,4.7969,4.87638,31,,,,"27463"
"Zack Wheeler","PHI",13.4975,9.3893,20.5951,3.31942,32,32,0,0,198.518,809.947,171.134,79.7857,73.2183,22.6972,50.9457,,8.6616,212.39,9.6289,2.30967,4.16895,1.029,0.262227,0.0629,0.1993269845843315,0.228075,1.11869,0.288085,0.747721,0.426213,,3.41384,4.64192,4.75355,20.469999313354492,,,,"10310"
"Chris Sale","ATL",13.8635,7.8546,19.9808,3.06831,30.78,30.78,0,0,186.772,754.33,152.245,69.4423,63.675,19.6318,46.9714,,8.9705,230.404,11.1025,2.26341,4.9052,0.946,0.305442,0.062269,0.24317288398742676,0.217995,1.06663,0.29578,0.755679,0.425511,,2.96426,4.48087,5.05359,36.20000076293945,,,,"10603"
"Corbin Burnes",,12.2933,10.5887,19.31,3.63163,32,32,0,0,197.374,821.363,181.577,86.7623,79.6431,22.2374,55.0059,,7.4054,201.464,9.18652,2.5082,3.66259,1.014,0.24528,0.0669691,0.17831093072891235,0.239247,1.19865,0.297691,0.729229,0.453,,3.53833,3.87233,3.58455,38.93000030517578,,,,"19361"
"Tyler Glasnow","LAD",10.5511,6.3907,14.7906,3.20741,24.3,24.3,0,0,143.689,579.623,116.611,55.8144,51.2076,16.0612,40.6495,,3.5589,177.93,11.1448,2.5461,4.37719,1.006,0.306976,0.0701309,0.23684517294168472,0.217796,1.09446,0.294503,0.752708,0.449349,,3.06598,3.69411,3.45208,104.06999969482422,,,,"14374"
"Framber Valdez","HOU",12.7072,9.5545,20.0939,3.42272,30.78,30.78,0,0,194.848,808.832,182.112,82.118,74.1009,16.4971,62.3447,,9.0662,187.13,8.64351,2.8797,3.00153,0.762,0.231358,0.0770799,0.15427789837121964,0.246958,1.25461,0.31026,0.733367,0.567966,,3.44586,3.69352,3.81416,64.80000305175781,,,,"17295"
"Sonny Gray","STL",12.0841,9.608,18.5162,3.40447,30.78,30.78,0,0,184.766,764.441,164.287,76.3979,69.8921,19.6262,51.3093,,6.828,197.289,9.61001,2.4993,3.84508,0.956,0.258082,0.06712,0.19096215069293976,0.232602,1.16687,0.295596,0.739947,0.447268,,3.35578,3.69143,3.95154,104.19999694824219,,,,"12768"
"Pablo López","MIN",12.1778,10.4552,18.7528,3.59275,32,32,0,0,193.107,797.632,176.53,83.6261,77.0871,23.2586,47.9951,,8.6049,202.564,9.44078,2.23688,4.22052,1.084,0.253957,0.060172,0.19378496333956718,0.238222,1.1627,0.297494,0.733991,0.431035,,3.51361,3.6385,3.46799,63.130001068115234,,,,"17085"
"Cole Ragans","KCR",11.9934,9.576,17.802,3.51302,30.78,30.78,0,0,182.633,763.834,156.313,77.3705,71.288,19.4199,68.9971,,6.488,206.951,10.1984,3.40013,2.99941,0.957,0.270937,0.09033,0.18060693889856339,0.227084,1.23368,0.296319,0.746709,0.406675,,3.52246,3.6229,4.0963,47.06999969482422,,,,"21846"
"Dylan Cease","SDP",12.6112,9.7532,18.3364,3.52114,32,32,0,0,188.994,787.802,156.008,79.8964,73.9415,22.4902,70.4381,,6.4411,224.108,10.6722,3.35431,3.18163,1.071,0.284473,0.0894109,0.19506195932626724,0.219444,1.19817,0.287553,0.751692,0.380462,,3.56223,3.6101,3.69888,44.79999923706055,,,,"18525"
"Blake Snell","LAD",12.695,8.6458,17.3385,3.49589,30.78,30.78,0,0,179.426,751.364,141.398,75.4525,69.6947,21.7902,77.1981,,5.3437,232.789,11.6767,3.87226,3.01548,1.093,0.309822,0.102744,0.20707793533802032,0.211414,1.21831,0.288739,0.761039,0.397857,,3.53053,3.59451,3.6816,43.130001068115234,,,,"13543"
"Logan Webb","SFG",12.3949,10.7049,20.5236,3.45941,32,32,0,0,201.109,840.056,201.923,85.8974,77.3022,16.8261,45.1597,,6.4382,174.689,7.81763,2.02098,3.86824,0.753,0.207949,0.053758,0.15419091656804085,0.256099,1.2286,0.310075,0.721103,0.558832,,3.28659,3.55765,3.52747,100.5999984741211,,,,"17995"
"Logan Gilbert","SEA",12.2256,10.7416,20.3027,3.41282,32,32,0,0,198.742,807.565,175.972,81.7211,75.3633,24.9311,42.8155,,6.102,207.639,9.40289,1.93889,4.84962,1.129,0.257117,0.053018,0.20409898087382317,0.231955,1.10087,0.287108,0.745396,0.405621,,3.44613,3.52374,3.4748,26.399999618530273,,,,"22250"
"Joe Ryan","MIN",10.7087,9.5259,15.5472,3.72533,29.16,29.16,0,0,169.103,693.615,148.62,74.6779,69.9962,24.7079,39.131,,7.0874,187.735,9.99163,2.08263,4.79761,1.315,0.270662,0.056416,0.21424610540270805,0.229566,1.11027,0.284886,0.738268,0.327803,,3.66551,3.36066,2.87752,89.87000274658203,,,,"21390"
"Sandy Alcantara","MIA",10.2966,11.1385,18.5232,3.79747,29.16,29.16,0,0,188.83,790.414,186.446,86.9217,79.6751,20.7503,47.6114,,7.5832,170.09,8.10682,2.26925,3.57246,0.989,0.215191,0.060236,0.15495487302541733,0.253593,1.23952,0.304376,0.717711,0.479823,,3.67041,3.32088,3.35541,152.8699951171875,,,,"18684"
"Max Fried","NYY",11.721,8.6958,17.3781,3.35442,29.16,29.16,0,0,173.047,721.028,162.487,71.3346,64.4968,17.3431,48.1401,,6.4604,164.707,8.56628,2.50372,3.42141,0.902,0.228434,0.0667659,0.16166792809963226,0.243819,1.21717,0.299651,0.747491,0.509199,,3.51233,3.28278,3.53004,103.4000015258789,,,,"13743"
"George Kirby","SEA",11.1805,10.2884,17.4565,3.49976,30.78,30.78,0,0,180.232,735.043,168.832,76.1084,70.0856,23.0497,27.1804,,7.1667,170.666,8.52229,1.35727,6.27901,1.151,0.232185,0.036978,0.1952069289982319,0.240948,1.08755,0.287549,0.73227,0.411601,,3.50691,3.26638,2.92771,42.27000045776367,,,,"25436"
"Aaron Nola","PHI",11.7801,10.1015,17.541,3.83189,30.78,30.78,0,0,187.668,780.647,178.304,86.4703,79.9024,26.2109,44.8599,,5.936,185.138,8.8787,2.15135,4.12703,1.257,0.23716,0.057465,0.17969505861401558,0.244302,1.18915,0.293332,0.733065,0.428643,,3.82111,3.23198,3.34872,83.33000183105469,,,,"16149"
"Cristopher Sánchez","PHI",11.3918,8.8471,16.4597,3.47504,29.16,29.16,0,0,169.778,706.524,163.755,72.5629,65.5539,16.4684,47.6233,,5.7801,148.79,7.88745,2.52453,3.12432,0.873,0.210595,0.0674051,0.14319004863500595,0.250728,1.24503,0.301903,0.737116,0.538346,,3.61836,3.19517,3.53512,168.8699951171875,,,,"20778"
"Hunter Brown","HOU",11.5101,9.7386,16.2528,3.69238,30.78,30.78,0,0,176.84,741.779,160.678,79.2892,72.5512,19.3345,60.9787,,6.8496,184.837,9.40696,3.10341,3.03117,0.984,0.24918,0.082206,0.1669740006327629,0.238412,1.25343,0.300872,0.731634,0.489321,,3.64805,3.18357,2.95559,101.2699966430664,,,,"25880"
"Shane McClanahan","TBR",10.4281,8.5642,15.0101,3.31006,35.92,25.92,0,0.6725,161.051,658.52,138.132,64.6891,59.2319,17.9482,47.3236,,4.6419,180.088,10.0639,2.64459,3.80546,1.003,0.273474,0.0718636,0.2016102597117424,0.227732,1.15154,0.294195,0.753246,0.448507,,3.34684,3.1745,3.14039,105.7300033569336,,,,"21483"
"Yoshinobu Yamamoto","LAD",11.1175,7.8733,15.003,3.55989,27.54,27.54,0,0,158.592,654.259,143.81,68.3086,62.7302,18.943,43.2943,,5.2786,166.538,9.45089,2.45692,3.84664,1.075,0.254544,0.066173,0.1883709877729416,0.237433,1.17978,0.297156,0.739772,0.456308,,3.53788,3.10166,3.11426,52.06999969482422,,,,"33825"
"Gerrit Cole","NYY",11.6225,10.3401,17.4144,3.92774,30.78,30.78,0,0,188.884,790.309,172.469,88.5279,82.4318,28.3116,53.0408,,6.7318,197.113,9.39212,2.52731,3.71626,1.349,0.249413,0.067114,0.182298943400383,0.236085,1.1939,0.285396,0.736962,0.379259,,3.97725,3.08703,2.62104,59.72999954223633,,,,"13125"
"Freddy Peralta","MIL",11.1308,10.2048,16.1277,3.78304,30.78,30.78,0,0,177.958,744.905,151.412,80.3388,74.8024,23.965,63.0845,,8.2819,205.12,10.3737,3.19042,3.25151,1.212,0.275364,0.084688,0.19067585468292236,0.224801,1.20532,0.28675,0.741426,0.371585,,3.81497,3.07246,3.14251,90.52999877929688,,,,"18679"
"Yusei Kikuchi","LAA",11.1627,10.0607,15.9833,3.73687,30.78,30.78,0,0,176.11,728.026,156.338,78.9067,73.1221,24.4205,54.6231,,6.0215,195.728,10.0026,2.79149,3.58325,1.248,0.268848,0.0750291,0.19381903856992722,0.234256,1.1979,0.294965,0.747031,0.420444,,3.77942,3.06527,3.15444,134.72999572753906,,,,"20633"
"Michael King","SDP",11.6661,9.7345,16.6955,3.69029,30.78,30.78,0,0,179.519,754.6,158.387,79.858,73.6087,21.8615,64.1614,,7.5588,191.262,9.58869,3.21666,2.98094,1.096,0.253461,0.085027,0.16843387484550476,0.231939,1.23969,0.29063,0.743402,0.42192,,3.81731,3.05985,3.10949,61.72999954223633,,,,"19853"
"Hunter Greene","CIN",10.7588,10.8152,15.4555,4.15741,30.78,30.78,0,0,181.619,770.553,157.12,89.2805,83.8963,28.716,66.169,,12.3219,216.65,10.7359,3.27895,3.27419,1.423,0.281161,0.0858721,0.19528909027576447,0.227032,1.22943,0.287452,0.731941,0.339337,,4.13269,3.01325,2.96751,92.7300033569336,,,,"22182"
"Shota Imanaga","CHC",11.4111,9.4227,17.5426,3.64286,29.16,29.16,0,0,179.749,740.014,166.502,78.3244,72.7558,25.8839,38.0589,,5.8158,182.214,9.12342,1.9056,4.78769,1.296,0.246231,0.05143,0.19480104744434357,0.239179,1.13803,0.288127,0.749964,0.368326,,3.74332,3.01067,3.29587,71.06999969482422,,,,"33829"
"Kevin Gausman","TOR",11.5868,11.0852,17.7751,3.8766,32,32,0,0,193.238,811.923,181.83,89.7767,83.2339,25.1424,54.3315,,4.973,193.426,9.00877,2.53048,3.56011,1.171,0.238232,0.0669171,0.1713150143623352,0.241597,1.22213,0.293396,0.72842,0.392589,,3.77667,2.9068,2.65224,163.60000610351562,,,,"14107"
"Nathan Eovaldi","TEX",11.0539,9.5725,16.6019,3.74428,29.16,29.16,0,0,175.964,733.796,166.844,79.6244,73.2066,21.5654,46.7538,,6.8052,170.778,8.73473,2.3913,3.6527,1.103,0.232732,0.063715,0.1690170019865036,0.245274,1.21387,0.297768,0.730474,0.455451,,3.73177,2.90602,2.80869,196,,,,"9132"
"Ranger Suárez","PHI",10.9775,9.0214,14.1904,3.59241,39.54,27.54,0,0.5828,167.063,702.152,159.072,73.3744,66.6843,17.4859,52.9601,,5.5898,150.982,8.13367,2.85306,2.85086,0.942,0.215027,0.0754254,0.13960181921720505,0.24716,1.26918,0.297992,0.739304,0.500751,,3.77106,2.831,3.19891,256.5299987792969,,,,"17277"
"Shohei Ohtani","LAD",9.9474,6.7678,13.3752,3.47376,24.3,24.3,0,0,139.363,574.456,116.905,58.2564,53.7904,17.1107,44.6226,,6.5775,162.495,10.4939,2.88171,3.64154,1.105,0.282868,0.077678,0.20518995076417923,0.223419,1.15904,0.290396,0.750667,0.414142,,3.53278,2.83037,2.88383,1.399999976158142,,,,"19755"
"Justin Steele","CHC",11.0957,9.163,16.1966,3.56061,29.16,29.16,0,0,169.848,702.724,157.648,73.3075,67.196,18.8532,47.5077,,6.5894,165.573,8.77345,2.51736,3.48518,0.999,0.235616,0.0676051,0.1680109053850174,0.24305,1.20788,0.298999,0.737567,0.456731,,3.61533,2.81278,3.18672,120,,,,"17312"
"Luis Castillo","SEA",11.0769,10.6421,17.718,3.61923,30.78,30.78,0,0,184.327,766.751,165.774,80.4171,74.1246,23.5938,51.9535,,6.8739,186.987,9.12987,2.5367,3.59912,1.152,0.243869,0.067758,0.17611102759838104,0.234169,1.1812,0.285879,0.743439,0.410604,,3.75906,2.80999,2.71627,81.93000030517578,,,,"15689"
"Zac Gallen","ARI",11.5351,10.0715,16.3558,3.95058,30.78,30.78,0,0,182.85,777.425,177.051,86.9147,80.2628,21.231,56.5009,,7.2324,184.015,9.05732,2.781,3.25685,1.045,0.236698,0.072677,0.1640210971236229,0.248078,1.27728,0.306464,0.719415,0.435481,,3.70885,2.78621,2.9044,118.80000305175781,,,,"19291"
