id,name,pitches,pa,ab,bip,hits,singles,doubles,triples,hr,k,krate,bb,bbrate,whiffs,swings,ba,xba,obp,xobp,slg,xslg,woba,xwoba,babip,whiffrate,ev,langle,hhrate,barrels,barrelbbe,barrelpa,chaserate,player_info,team_info,PlayerID,MLBAMId,MinorMasterId,age,AgeDisplayOld,Bats,Throws,Position,UPURL,MLB_FullName,MLB_ShortName,MLB_AbbName,spd,pull,wbsr,fv,wbsr_pa,krate_p,bbrate_p,xba_p,xslg_p,xwoba_p,whiffrate_p,ev_p,langle_p,hhrate_p,barrelbbe_p,chaserate_p,wbsr_pa_p,spd_p,pull_p,age_days,age_p,pscore,score_p,level
686531,Andre Lipcius,2612,634,560,420,152,99,26,2,25,144,22.7,67,10.6,376,1270,0.271,0.233,0.35,0.317,0.459,0.383,0.351,0.309,0.322,29.6,86.8,19.0,30.7,27,6.4,4.3,4.9,"{'UPId': '25822', 'PlayerId': 25822, 'MLBAMId': 686531, 'MinorMasterId': 'sa3010401', 'KBOId': None, 'KBOBISId': None, 'AltMMId': None, 'RRId': 'andre lipcius', 'FirstName': 'Andre', 'LastName': 'Lipcius', 'firstLastName': 'Andre Lipcius', 'NameKorean': None, 'Height': 73, 'Weight': 190, 'BirthDate': '1998-05-22T00:00:00', 'Bats': 'R', 'Throws': 'R', 'Position': '3B', 'BirthCity': '', 'College': 'Tennessee', 'Debut': '2023-09-01T00:00:00', 'LastGame': '2023-09-28T00:00:00', 'DeathDate': None, 'Retired': None, 'RookieSeason': 2023, 'CurrentLeague': None, 'HOF': 'P', 'UPURL': '/players/andre-lipcius/25822/stats?position=3B', 'HeightDisplay': '6\'1""', 'Age': 27, 'AgeToday': 26, 'AgeYears': 26, 'AgeMonths': 7, 'AgeDays': 2, 'AgeDisplayOld': '26 years, 7 months, 2 days', 'BirthDateDisplay': '5/22/1998', 'DeathDateDisplay': None, 'servicetime': '0.000', 'urlHeadshot': None, 'minSeason': 2023, 'maxSeason': 2023, 'AgeDisplay': '26 years, 7 months, 2 days'}","{'mlbamid': 686531, 'playerid': 25822, 'minormasterid': 'sa3010401', 'masterid': '25822', 'teamid': -1, 'minorfranchid': -1, 'transdate': '2024-12-16T00:00:00', 'tlevel': '-1', 'lgamedate': '2024-09-22T00:00:00', 'lseason': 2024, 'lteamid': 22, 'lminorfranchid': 1, 'llevel': 'AAA', 'mlevel': 'MLB', 'cplayerid': '25822', 'MLB_FullName': 'Free Agent', 'MLB_ShortName': None, 'MLB_AbbName': None, 'MiLB_FullName': None, 'llevel1': 'AAA'}",25822.0,686531,sa3010401,26,"26 years, 7 months, 2 days",R,R,3B,/players/andre-lipcius/25822/stats?position=3B,Free Agent,,,4.30381,0.477435,-0.484826,35+,-0.0007647097791798107,0.5,0.44320987654320987,0.528395061728395,0.645679012345679,0.5049382716049383,0.30617283950617286,0.32592592592592595,0.8876543209876543,0.2419753086419753,0.5469135802469136,0.5493827160493827,0.48641975308641977,0.3950617283950617,0.7135802469135802,9702,0.5975308641975309,10.88317634506935,0.5555555555555556,AAA
682183,Drew Avans,2514,610,527,372,140,97,27,8,8,157,25.7,79,13.0,315,1157,0.266,0.242,0.362,0.342,0.393,0.356,0.335,0.315,0.363,27.2,88.8,12.0,39.5,14,3.8,2.3,4.8,"{'UPId': 'sa3006937', 'PlayerId': None, 'MLBAMId': 682183, 'MinorMasterId': 'sa3006937', 'KBOId': None, 'KBOBISId': None, 'AltMMId': None, 'RRId': 'Drew Avans', 'FirstName': 'Drew', 'LastName': 'Avans', 'firstLastName': 'Drew Avans', 'NameKorean': None, 'Height': 70, 'Weight': 195, 'BirthDate': '1996-06-13T00:00:00', 'Bats': 'L', 'Throws': 'L', 'Position': 'OF', 'BirthCity': 'Alabaster', 'College': 'Southeastern Louisiana', 'Debut': None, 'LastGame': None, 'DeathDate': None, 'Retired': None, 'RookieSeason': None, 'CurrentLeague': None, 'HOF': None, 'UPURL': '/players/drew-avans/sa3006937/stats?position=OF', 'HeightDisplay': '5\'10""', 'Age': 29, 'AgeToday': 28, 'AgeYears': 28, 'AgeMonths': 6, 'AgeDays': 11, 'AgeDisplayOld': '28 years, 6 months, 11 days', 'BirthDateDisplay': '6/13/1996', 'DeathDateDisplay': None, 'servicetime': None, 'urlHeadshot': None, 'minSeason': None, 'maxSeason': None, 'AgeDisplay': '28 years, 6 months, 11 days'}","{'mlbamid': 682183, 'playerid': None, 'minormasterid': 'sa3006937', 'masterid': 'sa3006937', 'teamid': 10, 'minorfranchid': 19, 'transdate': '2024-11-20T00:00:00', 'tlevel': 'AAA', 'lgamedate': '2024-09-22T00:00:00', 'lseason': 2024, 'lteamid': 22, 'lminorfranchid': 1, 'llevel': 'AAA', 'mlevel': 'AAA', 'cplayerid': 'sa3006937', 'MLB_FullName': 'Athletics', 'MLB_ShortName': 'Athletics', 'MLB_AbbName': 'ATH', 'MiLB_FullName': None, 'llevel1': 'AAA'}",,682183,sa3006937,28,"28 years, 6 months, 11 days",L,L,OF,/players/drew-avans/sa3006937/stats?position=OF,Athletics,Athletics,ATH,8.02651,0.362694,2.9033,0,0.004759508196721312,0.32839506172839505,0.7395061728395061,0.6493827160493827,0.4617283950617284,0.5777777777777777,0.4679012345679012,0.6777777777777778,0.3950617283950617,0.6703703703703704,0.2654320987654321,0.5765432098765432,0.8888888888888888,0.9654320987654321,0.08148148148148149,10411,0.32592592592592595,8.936003657978967,0.454320987654321,AAA
682877,Juan Brito,2500,647,549,447,140,79,40,0,21,105,16.2,87,13.4,248,1141,0.255,0.231,0.363,0.343,0.443,0.369,0.353,0.319,0.279,21.7,87.7,18.0,33.3,27,6.0,4.2,4.0,"{'UPId': 'sa3009808', 'PlayerId': None, 'MLBAMId': 682877, 'MinorMasterId': 'sa3009808', 'KBOId': None, 'KBOBISId': None, 'AltMMId': None, 'RRId': 'Juan Brito', 'FirstName': 'Juan', 'LastName': 'Brito', 'firstLastName': 'Juan Brito', 'NameKorean': None, 'Height': 72, 'Weight': 202, 'BirthDate': '2001-09-24T00:00:00', 'Bats': 'S', 'Throws': 'R', 'Position': '2B', 'BirthCity': 'Santo Domingo', 'College': '', 'Debut': None, 'LastGame': None, 'DeathDate': None, 'Retired': None, 'RookieSeason': None, 'CurrentLeague': None, 'HOF': None, 'UPURL': '/players/juan-brito/sa3009808/stats?position=2B', 'HeightDisplay': '6\'0""', 'Age': 23, 'AgeToday': 23, 'AgeYears': 23, 'AgeMonths': 3, 'AgeDays': 0, 'AgeDisplayOld': '23 years, 3 months, 0 days', 'BirthDateDisplay': '9/24/2001', 'DeathDateDisplay': None, 'servicetime': '0.000', 'urlHeadshot': None, 'minSeason': None, 'maxSeason': None, 'AgeDisplay': '23 years, 3 months'}","{'mlbamid': 682877, 'playerid': None, 'minormasterid': 'sa3009808', 'masterid': 'sa3009808', 'teamid': 5, 'minorfranchid': 318, 'transdate': '2024-10-20T00:00:00', 'tlevel': 'MLB', 'lgamedate': '2024-09-22T00:00:00', 'lseason': 2024, 'lteamid': 5, 'lminorfranchid': 20, 'llevel': 'AAA', 'mlevel': 'AAA', 'cplayerid': 'sa3009808', 'MLB_FullName': 'Cleveland Guardians', 'MLB_ShortName': 'Guardians', 'MLB_AbbName': 'CLE', 'MiLB_FullName': None, 'llevel1': 'AAA'}",,682877,sa3009808,23,"23 years, 3 months, 0 days",S,R,2B,/players/juan-brito/sa3009808/stats?position=2B,Cleveland Guardians,Guardians,CLE,3.85239,0.470067,-1.10125,45,-0.0017020865533230295,0.8765432098765432,0.7777777777777778,0.4925925925925926,0.5271604938271605,0.6333333333333333,0.7679012345679013,0.48518518518518516,0.8382716049382716,0.35802469135802467,0.508641975308642,0.7666666666666667,0.3333333333333333,0.31851851851851853,0.6469135802469136,8485,0.9481481481481482,20.69655235482396,0.8666666666666667,AAA
805367,Chase Meidroth,2462,558,437,371,128,98,20,3,7,71,12.7,105,18.8,88,757,0.293,0.252,0.437,0.407,0.4,0.337,0.378,0.345,0.332,11.6,88.6,5.0,34.0,8,2.2,1.4,2.8,"{'UPId': 'sa3020011', 'PlayerId': None, 'MLBAMId': 805367, 'MinorMasterId': 'sa3020011', 'KBOId': None, 'KBOBISId': None, 'AltMMId': None, 'RRId': 'Chase Meidroth', 'FirstName': 'Chase', 'LastName': 'Meidroth', 'firstLastName': 'Chase Meidroth', 'NameKorean': None, 'Height': 70, 'Weight': 170, 'BirthDate': '2001-07-23T00:00:00', 'Bats': 'R', 'Throws': 'R', 'Position': '2B/3B/SS', 'BirthCity': 'Torrance', 'College': 'San Diego', 'Debut': None, 'LastGame': None, 'DeathDate': None, 'Retired': None, 'RookieSeason': None, 'CurrentLeague': None, 'HOF': None, 'UPURL': '/players/chase-meidroth/sa3020011/stats?position=2B/3B/SS', 'HeightDisplay': '5\'10""', 'Age': 23, 'AgeToday': 23, 'AgeYears': 23, 'AgeMonths': 5, 'AgeDays': 1, 'AgeDisplayOld': '23 years, 5 months, 1 days', 'BirthDateDisplay': '7/23/2001', 'DeathDateDisplay': None, 'servicetime': None, 'urlHeadshot': None, 'minSeason': None, 'maxSeason': None, 'AgeDisplay': '23 years, 5 months, 1 day'}","{'mlbamid': 805367, 'playerid': None, 'minormasterid': 'sa3020011', 'masterid': 'sa3020011', 'teamid': 4, 'minorfranchid': 338, 'transdate': '2024-12-11T00:00:00', 'tlevel': 'MLB', 'lgamedate': '2024-09-22T00:00:00', 'lseason': 2024, 'lteamid': 3, 'lminorfranchid': 28, 'llevel': 'AAA', 'mlevel': 'AAA', 'cplayerid': 'sa3020011', 'MLB_FullName': 'Chicago White Sox', 'MLB_ShortName': 'White Sox', 'MLB_AbbName': 'CHW', 'MiLB_FullName': None, 'llevel1': 'AAA'}",,805367,sa3020011,23,"23 years, 5 months, 1 days",R,R,2B/3B/SS,/players/chase-meidroth/sa3020011/stats?position=2B/3B/SS,Chicago White Sox,White Sox,CHW,5.02488,0.358491,-1.87234,40,-0.003355448028673835,0.9629629629629629,0.9851851851851852,0.7802469135802469,0.34444444444444444,0.8518518518518519,0.9950617283950617,0.645679012345679,0.05185185185185185,0.38395061728395063,0.08641975308641975,0.9543209876543209,0.1654320987654321,0.5135802469135803,0.07160493827160494,8546,0.9333333333333333,22.650041152263373,0.9061728395061729,AAA
669392,Samad Taylor,2461,571,491,341,122,88,19,4,11,156,27.3,68,11.9,291,1043,0.248,0.215,0.343,0.318,0.371,0.313,0.318,0.289,0.336,27.9,86.0,11.0,28.7,12,3.5,2.1,4.9,"{'UPId': '22274', 'PlayerId': 22274, 'MLBAMId': 669392, 'MinorMasterId': 'sa918192', 'KBOId': None, 'KBOBISId': None, 'AltMMId': None, 'RRId': 'samad taylor', 'FirstName': 'Samad', 'LastName': 'Taylor', 'firstLastName': 'Samad Taylor', 'NameKorean': None, 'Height': 68, 'Weight': 160, 'BirthDate': '1998-07-11T00:00:00', 'Bats': 'R', 'Throws': 'R', 'Position': '2B/OF', 'BirthCity': '', 'College': '', 'Debut': '2023-06-17T00:00:00', 'LastGame': '2024-04-07T00:00:00', 'DeathDate': None, 'Retired': None, 'RookieSeason': 2024, 'CurrentLeague': None, 'HOF': 'P', 'UPURL': '/players/samad-taylor/22274/stats?position=2B/OF', 'HeightDisplay': '5\'8""', 'Age': 26, 'AgeToday': 26, 'AgeYears': 26, 'AgeMonths': 5, 'AgeDays': 13, 'AgeDisplayOld': '26 years, 5 months, 13 days', 'BirthDateDisplay': '7/11/1998', 'DeathDateDisplay': None, 'servicetime': '0.000', 'urlHeadshot': 'https://images.fangraphs.com/nobg_small_20413293.png', 'minSeason': 2023, 'maxSeason': 2024, 'AgeDisplay': '26 years, 5 months, 13 days'}","{'mlbamid': 669392, 'playerid': 22274, 'minormasterid': 'sa918192', 'masterid': '22274', 'teamid': 11, 'minorfranchid': 329, 'transdate': '2024-10-01T00:00:00', 'tlevel': 'MLB', 'lgamedate': '2024-09-22T00:00:00', 'lseason': 2024, 'lteamid': 11, 'lminorfranchid': 17, 'llevel': 'AAA', 'mlevel': 'MLB', 'cplayerid': '22274', 'MLB_FullName': 'Seattle Mariners', 'MLB_ShortName': 'Mariners', 'MLB_AbbName': 'SEA', 'MiLB_FullName': None, 'llevel1': 'AAA'}",22274.0,669392,sa918192,26,"26 years, 5 months, 13 days",R,R,2B/OF,/players/samad-taylor/22274/stats?position=2B/OF,Seattle Mariners,Mariners,SEA,7.4813,0.403794,1.41003,40,0.0024694045534150613,0.22962962962962963,0.6074074074074074,0.23950617283950618,0.18641975308641975,0.26296296296296295,0.4160493827160494,0.2,0.30987654320987656,0.19382716049382717,0.23580246913580247,0.5493827160493827,0.7925925925925926,0.9135802469135802,0.22469135802469137,9653,0.6172839506172839,10.743026977594877,0.5481481481481482,AAA
664247,Kyle Garlick,2394,618,538,374,127,75,21,3,28,170,27.5,68,11.0,331,1107,0.236,0.218,0.325,0.313,0.442,0.373,0.333,0.307,0.286,29.9,88.7,17.0,38.8,34,9.1,5.5,5.8,"{'UPId': '18063', 'PlayerId': 18063, 'MLBAMId': 664247, 'MinorMasterId': 'sa875898', 'KBOId': None, 'KBOBISId': None, 'AltMMId': None, 'RRId': 'kyle garlick', 'FirstName': 'Kyle', 'LastName': 'Garlick', 'firstLastName': 'Kyle Garlick', 'NameKorean': None, 'Height': 73, 'Weight': 210, 'BirthDate': '1992-01-26T00:00:00', 'Bats': 'R', 'Throws': 'R', 'Position': 'OF', 'BirthCity': '', 'College': 'Cal Poly Pomona', 'Debut': '2019-05-19T00:00:00', 'LastGame': '2023-06-09T00:00:00', 'DeathDate': None, 'Retired': None, 'RookieSeason': 2021, 'CurrentLeague': None, 'HOF': 'P', 'UPURL': '/players/kyle-garlick/18063/stats?position=OF', 'HeightDisplay': '6\'1""', 'Age': 33, 'AgeToday': 32, 'AgeYears': 32, 'AgeMonths': 10, 'AgeDays': 28, 'AgeDisplayOld': '32 years, 10 months, 28 days', 'BirthDateDisplay': '1/26/1992', 'DeathDateDisplay': None, 'servicetime': '2.163', 'urlHeadshot': None, 'minSeason': 2019, 'maxSeason': 2023, 'AgeDisplay': '32 years, 10 months, 28 days'}","{'mlbamid': 664247, 'playerid': 18063, 'minormasterid': 'sa875898', 'masterid': '18063', 'teamid': -1, 'minorfranchid': -1, 'transdate': '2024-11-04T00:00:00', 'tlevel': '-1', 'lgamedate': '2024-09-21T00:00:00', 'lseason': 2024, 'lteamid': 15, 'lminorfranchid': 18, 'llevel': 'AAA', 'mlevel': 'MLB', 'cplayerid': '18063', 'MLB_FullName': 'Free Agent', 'MLB_ShortName': None, 'MLB_AbbName': None, 'MiLB_FullName': None, 'llevel1': 'AAA'}",18063.0,664247,sa875898,32,"32 years, 10 months, 28 days",R,R,OF,/players/kyle-garlick/18063/stats?position=OF,Free Agent,,,3.41936,0.486631,-1.15699,0,-0.0018721521035598705,0.20987654320987653,0.5049382716049383,0.2938271604938272,0.5580246913580247,0.47901234567901235,0.2802469135802469,0.6604938271604939,0.7654320987654321,0.645679012345679,0.8111111111111111,0.3148148148148148,0.29876543209876544,0.2518518518518518,0.7679012345679013,12008,0.07407407407407407,1.573662551440329,0.0962962962962963,AAA
670231,John Rave,2385,566,494,373,127,69,32,5,21,125,22.1,65,11.5,238,1012,0.257,0.229,0.345,0.323,0.47,0.376,0.351,0.311,0.301,23.5,88.4,13.0,37.0,32,8.6,5.7,4.2,"{'UPId': 'sa918890', 'PlayerId': None, 'MLBAMId': 670231, 'MinorMasterId': 'sa918890', 'KBOId': None, 'KBOBISId': None, 'AltMMId': None, 'RRId': 'john rave', 'FirstName': 'John', 'LastName': 'Rave', 'firstLastName': 'John Rave', 'NameKorean': None, 'Height': 70, 'Weight': 194, 'BirthDate': '1997-12-30T00:00:00', 'Bats': 'L', 'Throws': 'L', 'Position': 'OF', 'BirthCity': 'Canton', 'College': 'Illinois State', 'Debut': None, 'LastGame': None, 'DeathDate': None, 'Retired': None, 'RookieSeason': None, 'CurrentLeague': None, 'HOF': None, 'UPURL': '/players/john-rave/sa918890/stats?position=OF', 'HeightDisplay': '5\'10""', 'Age': 27, 'AgeToday': 26, 'AgeYears': 26, 'AgeMonths': 11, 'AgeDays': 24, 'AgeDisplayOld': '26 years, 11 months, 24 days', 'BirthDateDisplay': '12/30/1997', 'DeathDateDisplay': None, 'servicetime': None, 'urlHeadshot': None, 'minSeason': None, 'maxSeason': None, 'AgeDisplay': '26 years, 11 months, 24 days'}","{'mlbamid': 670231, 'playerid': None, 'minormasterid': 'sa918890', 'masterid': 'sa918890', 'teamid': 7, 'minorfranchid': 15, 'transdate': '2024-03-28T00:00:00', 'tlevel': 'AAA', 'lgamedate': '2024-09-22T00:00:00', 'lseason': 2024, 'lteamid': 7, 'lminorfranchid': 15, 'llevel': 'AAA', 'mlevel': 'AAA', 'cplayerid': 'sa918890', 'MLB_FullName': 'Kansas City Royals', 'MLB_ShortName': 'Royals', 'MLB_AbbName': 'KCR', 'MiLB_FullName': None, 'llevel1': 'AAA'}",,670231,sa918890,26,"26 years, 11 months, 24 days",L,L,OF,/players/john-rave/sa918890/stats?position=OF,Kansas City Royals,Royals,KCR,6.62252,0.454308,-0.0236754,35+,-4.182932862190812e-05,0.5407407407407407,0.5530864197530864,0.45555555555555555,0.5901234567901235,0.5308641975308642,0.674074074074074,0.608641975308642,0.4703703703703704,0.5555555555555556,0.7555555555555555,0.7135802469135802,0.6049382716049383,0.8049382716049382,0.5111111111111111,9844,0.5358024691358024,13.883898795915252,0.6839506172839506,AAA
695657,Colson Montgomery,2341,572,485,324,104,62,21,3,18,164,28.7,68,11.9,304,1065,0.214,0.217,0.327,0.331,0.381,0.354,0.316,0.31,0.281,28.5,85.8,18.0,34.3,25,7.7,4.4,4.1,"{'UPId': 'sa3017170', 'PlayerId': None, 'MLBAMId': 695657, 'MinorMasterId': 'sa3017170', 'KBOId': None, 'KBOBISId': None, 'AltMMId': None, 'RRId': 'Colson Montgomery', 'FirstName': 'Colson', 'LastName': 'Montgomery', 'firstLastName': 'Colson Montgomery', 'NameKorean': None, 'Height': 75, 'Weight': 225, 'BirthDate': '2002-02-27T00:00:00', 'Bats': 'L', 'Throws': 'R', 'Position': 'SS', 'BirthCity': 'Jasper', 'College': '', 'Debut': None, 'LastGame': None, 'DeathDate': None, 'Retired': None, 'RookieSeason': None, 'CurrentLeague': None, 'HOF': None, 'UPURL': '/players/colson-montgomery/sa3017170/stats?position=SS', 'HeightDisplay': '6\'3""', 'Age': 23, 'AgeToday': 22, 'AgeYears': 22, 'AgeMonths': 9, 'AgeDays': 27, 'AgeDisplayOld': '22 years, 9 months, 27 days', 'BirthDateDisplay': '2/27/2002', 'DeathDateDisplay': None, 'servicetime': None, 'urlHeadshot': None, 'minSeason': None, 'maxSeason': None, 'AgeDisplay': '22 years, 9 months, 27 days'}","{'mlbamid': 695657, 'playerid': None, 'minormasterid': 'sa3017170', 'masterid': 'sa3017170', 'teamid': 4, 'minorfranchid': 338, 'transdate': '2024-11-19T00:00:00', 'tlevel': 'MLB', 'lgamedate': '2024-09-22T00:00:00', 'lseason': 2024, 'lteamid': 4, 'lminorfranchid': 21, 'llevel': 'AAA', 'mlevel': 'AAA', 'cplayerid': 'sa3017170', 'MLB_FullName': 'Chicago White Sox', 'MLB_ShortName': 'White Sox', 'MLB_AbbName': 'CHW', 'MiLB_FullName': None, 'llevel1': 'AAA'}",,695657,sa3017170,22,"22 years, 9 months, 27 days",L,R,SS,/players/colson-montgomery/sa3017170/stats?position=SS,Chicago White Sox,White Sox,CHW,4.80315,0.50774,-0.458786,55,-0.0008020734265734266,0.15432098765432098,0.6074074074074074,0.28271604938271605,0.45308641975308644,0.519753086419753,0.37777777777777777,0.18271604938271604,0.8382716049382716,0.3925925925925926,0.6641975308641975,0.7419753086419754,0.4839506172839506,0.4666666666666667,0.8691358024691358,8327,0.9604938271604938,18.114202103337902,0.8222222222222222,AAA
670224,Kameron Misner,2298,516,437,287,107,60,26,4,17,152,29.5,72,14.0,342,1017,0.245,0.217,0.357,0.333,0.439,0.345,0.349,0.307,0.333,33.6,88.8,15.0,36.9,16,5.6,3.1,5.0,"{'UPId': '26374', 'PlayerId': 26374, 'MLBAMId': 670224, 'MinorMasterId': 'sa3011656', 'KBOId': None, 'KBOBISId': None, 'AltMMId': None, 'RRId': 'kameron misner', 'FirstName': 'Kameron', 'LastName': 'Misner', 'firstLastName': 'Kameron Misner', 'NameKorean': None, 'Height': 76, 'Weight': 218, 'BirthDate': '1998-01-08T00:00:00', 'Bats': 'L', 'Throws': 'L', 'Position': 'OF', 'BirthCity': '', 'College': 'Missouri', 'Debut': '2024-08-02T00:00:00', 'LastGame': '2024-08-22T00:00:00', 'DeathDate': None, 'Retired': None, 'RookieSeason': 2024, 'CurrentLeague': None, 'HOF': 'P', 'UPURL': '/players/kameron-misner/26374/stats?position=OF', 'HeightDisplay': '6\'4""', 'Age': 27, 'AgeToday': 26, 'AgeYears': 26, 'AgeMonths': 11, 'AgeDays': 16, 'AgeDisplayOld': '26 years, 11 months, 16 days', 'BirthDateDisplay': '1/8/1998', 'DeathDateDisplay': None, 'servicetime': None, 'urlHeadshot': None, 'minSeason': 2024, 'maxSeason': 2024, 'AgeDisplay': '26 years, 11 months, 16 days'}","{'mlbamid': 670224, 'playerid': 26374, 'minormasterid': 'sa3011656', 'masterid': '26374', 'teamid': 12, 'minorfranchid': 332, 'transdate': '2024-10-01T00:00:00', 'tlevel': 'MLB', 'lgamedate': '2024-09-22T00:00:00', 'lseason': 2024, 'lteamid': 12, 'lminorfranchid': 23, 'llevel': 'AAA', 'mlevel': 'MLB', 'cplayerid': '26374', 'MLB_FullName': 'Tampa Bay Rays', 'MLB_ShortName': 'Rays', 'MLB_AbbName': 'TBR', 'MiLB_FullName': None, 'llevel1': 'AAA'}",26374.0,670224,sa3011656,26,"26 years, 11 months, 16 days",L,L,OF,/players/kameron-misner/26374/stats?position=OF,Tampa Bay Rays,Rays,TBR,7.33645,0.513793,3.51709,40,0.006816065891472868,0.13209876543209875,0.8271604938271605,0.28271604938271605,0.4049382716049383,0.47901234567901235,0.13209876543209875,0.6777777777777778,0.6222222222222222,0.5506172839506173,0.44814814814814813,0.5209876543209877,0.9432098765432099,0.9037037037037037,0.8938271604938272,9836,0.5432098765432098,14.549977137631458,0.7160493827160493,AAA
682239,Luke Ritter,2255,567,479,307,123,70,25,2,26,174,30.7,73,12.9,363,1017,0.257,0.23,0.369,0.346,0.48,0.424,0.369,0.34,0.345,35.7,89.6,10.0,44.3,39,12.7,6.9,5.1,"{'UPId': 'sa3009878', 'PlayerId': None, 'MLBAMId': 682239, 'MinorMasterId': 'sa3009878', 'KBOId': None, 'KBOBISId': None, 'AltMMId': None, 'RRId': 'luke ritter', 'FirstName': 'Lucas', 'LastName': 'Ritter', 'firstLastName': 'Luke Ritter', 'NameKorean': None, 'Height': 71, 'Weight': 187, 'BirthDate': '1997-02-15T00:00:00', 'Bats': 'R', 'Throws': 'R', 'Position': '2B/3B', 'BirthCity': 'Minneapolis', 'College': 'Wichita State', 'Debut': None, 'LastGame': None, 'DeathDate': None, 'Retired': None, 'RookieSeason': None, 'CurrentLeague': None, 'HOF': None, 'UPURL': '/players/lucas-ritter/sa3009878/stats?position=2B/3B', 'HeightDisplay': '5\'11""', 'Age': 28, 'AgeToday': 27, 'AgeYears': 27, 'AgeMonths': 10, 'AgeDays': 9, 'AgeDisplayOld': '27 years, 10 months, 9 days', 'BirthDateDisplay': '2/15/1997', 'DeathDateDisplay': None, 'servicetime': None, 'urlHeadshot': None, 'minSeason': None, 'maxSeason': None, 'AgeDisplay': '27 years, 10 months, 9 days'}","{'mlbamid': 682239, 'playerid': None, 'minormasterid': 'sa3009878', 'masterid': 'sa3009878', 'teamid': 25, 'minorfranchid': 325, 'transdate': '2024-02-26T00:00:00', 'tlevel': 'MLB', 'lgamedate': '2024-09-22T00:00:00', 'lseason': 2024, 'lteamid': 25, 'lminorfranchid': 27, 'llevel': 'AAA', 'mlevel': 'AAA', 'cplayerid': 'sa3009878', 'MLB_FullName': 'New York Mets', 'MLB_ShortName': 'Mets', 'MLB_AbbName': 'NYM', 'MiLB_FullName': None, 'llevel1': 'AAA'}",,682239,sa3009878,27,"27 years, 10 months, 9 days",R,R,2B/3B,/players/lucas-ritter/sa3009878/stats?position=2B/3B,New York Mets,Mets,NYM,3.80093,0.465798,-1.3436,0,-0.002369664902998236,0.09259259259259259,0.7271604938271605,0.47530864197530864,0.8185185185185185,0.8123456790123457,0.06666666666666667,0.8160493827160494,0.23950617283950618,0.9012345679012346,0.945679012345679,0.4901234567901235,0.24691358024691357,0.3037037037037037,0.6074074074074074,10164,0.4123456790123457,11.552296905959459,0.582716049382716,AAA
