id,name,pitches,pa,ab,bip,hits,singles,doubles,triples,hr,k,krate,bb,bbrate,whiffs,swings,ba,xba,obp,xobp,slg,xslg,woba,xwoba,babip,whiffrate,ev,langle,hhrate,barrels,barrelbbe,barrelpa,chaserate,velo,krate_p,bbrate_p,xba_p,xslg_p,xwoba_p,whiffrate_p,ev_p,langle_p,hhrate_p,barrelbbe_p,chaserate_p,velo_p,player_info,team_info,PlayerID,MLBAMId,MinorMasterId,age,Bats,Throws,Position,UPURL,MLB_FullName,MLB_ShortName,MLB_AbbName
596271,Casey Lawrence,2509,719,664,558,195,113,43,5,34,108,15.0,48,6.7,252,1234,0.294,0.279,0.345,0.332,0.527,0.452,0.373,0.339,0.307,20.4,87.7,11.0,34.1,41,7.3,5.7,6.7,87.5,0.030927835051546393,0.895618556701031,0.02577319587628866,0.05154639175257732,0.11984536082474227,0.07731958762886598,0.5128865979381443,0.7152061855670103,0.5966494845360825,0.25128865979381443,0.9291237113402062,0.01634877384196185,"{'UPId': '11121', 'PlayerId': 11121, 'MLBAMId': 596271, 'MinorMasterId': 'sa549433', 'KBOId': None, 'KBOBISId': None, 'AltMMId': None, 'RRId': 'casey lawrence', 'FirstName': 'Casey', 'LastName': 'Lawrence', 'firstLastName': 'Casey Lawrence', 'NameKorean': None, 'Height': 72, 'Weight': 170, 'BirthDate': '1987-10-28T00:00:00', 'Bats': 'R', 'Throws': 'R', 'Position': 'P', 'BirthCity': '', 'College': 'Albright College', 'Debut': '2017-04-08T00:00:00', 'LastGame': '2023-09-30T00:00:00', 'DeathDate': None, 'Retired': None, 'RookieSeason': 2017, 'CurrentLeague': None, 'HOF': None, 'UPURL': '/players/casey-lawrence/11121/stats?position=P', 'HeightDisplay': '6\'0""', 'Age': 37, 'AgeToday': 37, 'AgeYears': 37, 'AgeMonths': 1, 'AgeDays': 12, 'AgeDisplayOld': '37 years, 1 months, 12 days', 'BirthDateDisplay': '10/28/1987', 'DeathDateDisplay': None, 'servicetime': '1.016', 'urlHeadshot': None, 'minSeason': 2017, 'maxSeason': 2023, 'AgeDisplay': '37 years, 1 month, 12 days'}","{'mlbamid': 596271, 'playerid': 11121, 'minormasterid': 'sa549433', 'masterid': '11121', 'teamid': 11, 'minorfranchid': 17, 'transdate': '2024-11-16T00:00:00', 'tlevel': 'AAA', 'lgamedate': '2024-09-21T00:00:00', 'lseason': 2024, 'lteamid': 11, 'lminorfranchid': 17, 'llevel': 'AAA', 'mlevel': 'MLB', 'cplayerid': '11121', 'MLB_FullName': 'Seattle Mariners', 'MLB_ShortName': 'Mariners', 'MLB_AbbName': 'SEA', 'MiLB_FullName': None, 'llevel1': 'AAA'}",11121.0,596271,sa549433,37,R,R,P,/players/casey-lawrence/11121/stats?position=P,Seattle Mariners,Mariners,SEA
623381,Thomas Pannone,2468,640,591,459,156,97,35,4,20,136,21.3,38,5.9,282,1227,0.264,0.23,0.314,0.283,0.438,0.369,0.325,0.285,0.31,23.0,86.3,12.0,29.8,35,7.6,5.5,5.0,88.6,0.3543814432989691,0.9458762886597938,0.5451030927835051,0.4097938144329897,0.7525773195876289,0.23711340206185566,0.7938144329896907,0.645618556701031,0.865979381443299,0.21391752577319587,0.4072164948453608,0.04632152588555858,"{'UPId': '17281', 'PlayerId': 17281, 'MLBAMId': 623381, 'MinorMasterId': 'sa658922', 'KBOId': 52606, 'KBOBISId': 1108, 'AltMMId': 'kr301974', 'RRId': 'thomas pannone', 'FirstName': 'Thomas', 'LastName': 'Pannone', 'firstLastName': 'Thomas Pannone', 'NameKorean': '파노니', 'Height': 72, 'Weight': 200, 'BirthDate': '1994-04-28T00:00:00', 'Bats': 'L', 'Throws': 'L', 'Position': 'P', 'BirthCity': '', 'College': 'CC of Southern Nevada', 'Debut': '2018-08-10T00:00:00', 'LastGame': '2023-06-30T00:00:00', 'DeathDate': None, 'Retired': None, 'RookieSeason': 2019, 'CurrentLeague': None, 'HOF': None, 'UPURL': '/players/thomas-pannone/17281/stats?position=P', 'HeightDisplay': '6\'0""', 'Age': 31, 'AgeToday': 30, 'AgeYears': 30, 'AgeMonths': 7, 'AgeDays': 12, 'AgeDisplayOld': '30 years, 7 months, 12 days', 'BirthDateDisplay': '4/28/1994', 'DeathDateDisplay': None, 'servicetime': '1.002', 'urlHeadshot': None, 'minSeason': 2018, 'maxSeason': 2023, 'AgeDisplay': '30 years, 7 months, 12 days'}","{'mlbamid': 623381, 'playerid': 17281, 'minormasterid': 'sa658922', 'masterid': '17281', 'teamid': 23, 'minorfranchid': 24, 'transdate': '2024-11-27T00:00:00', 'tlevel': 'AAA', 'lgamedate': '2024-09-20T00:00:00', 'lseason': 2024, 'lteamid': 9, 'lminorfranchid': 4, 'llevel': 'AAA', 'mlevel': 'MLB', 'cplayerid': '17281', 'MLB_FullName': 'Milwaukee Brewers', 'MLB_ShortName': 'Brewers', 'MLB_AbbName': 'MIL', 'MiLB_FullName': None, 'llevel1': 'AAA'}",17281.0,623381,sa658922,30,L,L,P,/players/thomas-pannone/17281/stats?position=P,Milwaukee Brewers,Brewers,MIL
700241,Michael McGreevy,2440,635,587,451,152,100,33,5,14,138,21.7,44,6.9,264,1193,0.259,0.239,0.312,0.293,0.404,0.354,0.312,0.285,0.316,22.1,85.1,7.0,31.5,19,4.2,3.0,5.9,92.4,0.3698453608247423,0.8762886597938144,0.38402061855670105,0.5515463917525774,0.7525773195876289,0.17396907216494845,0.9355670103092784,0.875,0.7731958762886598,0.779639175257732,0.7744845360824743,0.4482288828337875,"{'UPId': '29869', 'PlayerId': 29869, 'MLBAMId': 700241, 'MinorMasterId': 'sa3017598', 'KBOId': None, 'KBOBISId': None, 'AltMMId': None, 'RRId': 'Michael McGreevy', 'FirstName': 'Michael', 'LastName': 'McGreevy', 'firstLastName': 'Michael McGreevy', 'NameKorean': None, 'Height': 76, 'Weight': 220, 'BirthDate': '2000-07-08T00:00:00', 'Bats': 'L', 'Throws': 'R', 'Position': 'P', 'BirthCity': '', 'College': '', 'Debut': '2024-07-31T00:00:00', 'LastGame': '2024-09-29T00:00:00', 'DeathDate': None, 'Retired': None, 'RookieSeason': 2024, 'CurrentLeague': None, 'HOF': None, 'UPURL': '/players/michael-mcgreevy/29869/stats?position=P', 'HeightDisplay': '6\'4""', 'Age': 24, 'AgeToday': 24, 'AgeYears': 24, 'AgeMonths': 5, 'AgeDays': 2, 'AgeDisplayOld': '24 years, 5 months, 2 days', 'BirthDateDisplay': '7/8/2000', 'DeathDateDisplay': None, 'servicetime': None, 'urlHeadshot': None, 'minSeason': 2024, 'maxSeason': 2024, 'AgeDisplay': '24 years, 5 months, 2 days'}","{'mlbamid': 700241, 'playerid': 29869, 'minormasterid': 'sa3017598', 'masterid': '29869', 'teamid': 28, 'minorfranchid': 331, 'transdate': '2024-09-18T00:00:00', 'tlevel': 'MLB', 'lgamedate': '2024-09-29T00:00:00', 'lseason': 2024, 'lteamid': 28, 'lminorfranchid': None, 'llevel': 'MLB', 'mlevel': 'MLB', 'cplayerid': '29869', 'MLB_FullName': 'St. Louis Cardinals', 'MLB_ShortName': 'Cardinals', 'MLB_AbbName': 'STL', 'MiLB_FullName': None, 'llevel1': 'MLB'}",29869.0,700241,sa3017598,24,L,R,P,/players/michael-mcgreevy/29869/stats?position=P,St. Louis Cardinals,Cardinals,STL
666154,Karl Kauffmann,2429,631,543,477,192,110,43,5,34,74,11.7,76,12.0,241,1091,0.354,0.294,0.431,0.381,0.639,0.462,0.45,0.369,0.357,22.1,89.0,13.0,40.9,32,6.7,5.1,4.9,91.2,0.005154639175257732,0.33762886597938147,0.010309278350515464,0.030927835051546393,0.01804123711340206,0.17396907216494845,0.1559278350515464,0.5579896907216495,0.1134020618556701,0.3337628865979381,0.3634020618556701,0.24659400544959129,"{'UPId': '27488', 'PlayerId': 27488, 'MLBAMId': 666154, 'MinorMasterId': 'sa3014526', 'KBOId': None, 'KBOBISId': None, 'AltMMId': None, 'RRId': 'karl kauffmann', 'FirstName': 'Karl', 'LastName': 'Kauffmann', 'firstLastName': 'Karl Kauffmann', 'NameKorean': None, 'Height': 74, 'Weight': 200, 'BirthDate': '1997-08-15T00:00:00', 'Bats': 'R', 'Throws': 'R', 'Position': 'P', 'BirthCity': '', 'College': 'Michigan', 'Debut': '2023-05-19T00:00:00', 'LastGame': '2023-09-30T00:00:00', 'DeathDate': None, 'Retired': None, 'RookieSeason': 2023, 'CurrentLeague': None, 'HOF': None, 'UPURL': '/players/karl-kauffmann/27488/stats?position=P', 'HeightDisplay': '6\'2""', 'Age': 27, 'AgeToday': 27, 'AgeYears': 27, 'AgeMonths': 3, 'AgeDays': 26, 'AgeDisplayOld': '27 years, 3 months, 26 days', 'BirthDateDisplay': '8/15/1997', 'DeathDateDisplay': None, 'servicetime': None, 'urlHeadshot': None, 'minSeason': 2023, 'maxSeason': 2023, 'AgeDisplay': '27 years, 3 months, 26 days'}","{'mlbamid': 666154, 'playerid': 27488, 'minormasterid': 'sa3014526', 'masterid': '27488', 'teamid': 19, 'minorfranchid': 3, 'transdate': '2024-09-26T00:00:00', 'tlevel': 'AAA', 'lgamedate': '2024-09-18T00:00:00', 'lseason': 2024, 'lteamid': 19, 'lminorfranchid': 3, 'llevel': 'AAA', 'mlevel': 'MLB', 'cplayerid': '27488', 'MLB_FullName': 'Colorado Rockies', 'MLB_ShortName': 'Rockies', 'MLB_AbbName': 'COL', 'MiLB_FullName': None, 'llevel1': 'AAA'}",27488.0,666154,sa3014526,27,R,R,P,/players/karl-kauffmann/27488/stats?position=P,Colorado Rockies,Rockies,COL
687607,Edgar Barclay,2426,646,566,451,149,83,35,1,30,118,18.3,70,10.8,329,1206,0.263,0.27,0.35,0.357,0.488,0.469,0.361,0.359,0.283,27.3,88.2,16.0,35.7,45,10.0,7.0,5.0,89.5,0.16623711340206185,0.44587628865979384,0.061855670103092786,0.02577319587628866,0.041237113402061855,0.5412371134020618,0.36726804123711343,0.3170103092783505,0.4793814432989691,0.041237113402061855,0.4072164948453608,0.08719346049046321,"{'UPId': 'sa1170012', 'PlayerId': None, 'MLBAMId': 687607, 'MinorMasterId': 'sa1170012', 'KBOId': None, 'KBOBISId': None, 'AltMMId': None, 'RRId': 'Edgar Barclay', 'FirstName': 'Edgar', 'LastName': 'Barclay', 'firstLastName': 'Edgar Barclay', 'NameKorean': None, 'Height': 70, 'Weight': 200, 'BirthDate': '1998-05-24T00:00:00', 'Bats': 'L', 'Throws': 'L', 'Position': 'P', 'BirthCity': 'Oklahoma City', 'College': 'Cal State Bakersfield', 'Debut': None, 'LastGame': None, 'DeathDate': None, 'Retired': None, 'RookieSeason': None, 'CurrentLeague': None, 'HOF': None, 'UPURL': '/players/edgar-barclay/sa1170012/stats?position=P', 'HeightDisplay': '5\'10""', 'Age': 27, 'AgeToday': 26, 'AgeYears': 26, 'AgeMonths': 6, 'AgeDays': 16, 'AgeDisplayOld': '26 years, 6 months, 16 days', 'BirthDateDisplay': '5/24/1998', 'DeathDateDisplay': None, 'servicetime': None, 'urlHeadshot': None, 'minSeason': None, 'maxSeason': None, 'AgeDisplay': '26 years, 6 months, 16 days'}","{'mlbamid': 687607, 'playerid': None, 'minormasterid': 'sa1170012', 'masterid': 'sa1170012', 'teamid': 9, 'minorfranchid': 340, 'transdate': '2024-02-25T00:00:00', 'tlevel': 'MLB', 'lgamedate': '2024-09-21T00:00:00', 'lseason': 2024, 'lteamid': 9, 'lminorfranchid': 4, 'llevel': 'AAA', 'mlevel': 'AAA', 'cplayerid': 'sa1170012', 'MLB_FullName': 'New York Yankees', 'MLB_ShortName': 'Yankees', 'MLB_AbbName': 'NYY', 'MiLB_FullName': None, 'llevel1': 'AAA'}",,687607,sa1170012,26,L,L,P,/players/edgar-barclay/sa1170012/stats?position=P,New York Yankees,Yankees,NYY
687473,Ryan Gusto,2350,616,551,415,129,90,22,3,14,141,22.9,53,8.6,286,1186,0.234,0.228,0.307,0.305,0.361,0.34,0.295,0.289,0.287,24.1,87.0,16.0,33.5,20,4.8,3.2,5.4,93.1,0.4729381443298969,0.6945876288659794,0.5734536082474226,0.6752577319587629,0.7023195876288659,0.29896907216494845,0.6932989690721649,0.3170103092783505,0.654639175257732,0.6778350515463918,0.5644329896907216,0.5722070844686649,"{'UPId': 'sa3011818', 'PlayerId': None, 'MLBAMId': 687473, 'MinorMasterId': 'sa3011818', 'KBOId': None, 'KBOBISId': None, 'AltMMId': None, 'RRId': 'Ryan Gusto', 'FirstName': 'Ryan', 'LastName': 'Gusto', 'firstLastName': 'Ryan Gusto', 'NameKorean': None, 'Height': 76, 'Weight': 232, 'BirthDate': '1999-03-11T00:00:00', 'Bats': 'R', 'Throws': 'R', 'Position': 'P', 'BirthCity': 'Santa Rosa', 'College': 'Florida Southwestern State JC', 'Debut': None, 'LastGame': None, 'DeathDate': None, 'Retired': None, 'RookieSeason': None, 'CurrentLeague': None, 'HOF': None, 'UPURL': '/players/ryan-gusto/sa3011818/stats?position=P', 'HeightDisplay': '6\'4""', 'Age': 26, 'AgeToday': 25, 'AgeYears': 25, 'AgeMonths': 9, 'AgeDays': 0, 'AgeDisplayOld': '25 years, 9 months, 0 days', 'BirthDateDisplay': '3/11/1999', 'DeathDateDisplay': None, 'servicetime': None, 'urlHeadshot': None, 'minSeason': None, 'maxSeason': None, 'AgeDisplay': '25 years, 9 months'}","{'mlbamid': 687473, 'playerid': None, 'minormasterid': 'sa3011818', 'masterid': 'sa3011818', 'teamid': 21, 'minorfranchid': 321, 'transdate': '2024-10-03T00:00:00', 'tlevel': 'MLB', 'lgamedate': '2024-09-20T00:00:00', 'lseason': 2024, 'lteamid': 21, 'lminorfranchid': 14, 'llevel': 'AAA', 'mlevel': 'AAA', 'cplayerid': 'sa3011818', 'MLB_FullName': 'Houston Astros', 'MLB_ShortName': 'Astros', 'MLB_AbbName': 'HOU', 'MiLB_FullName': None, 'llevel1': 'AAA'}",,687473,sa3011818,25,R,R,P,/players/ryan-gusto/sa3011818/stats?position=P,Houston Astros,Astros,HOU
678024,Mike Vasil,2330,605,531,429,155,99,29,3,24,109,18.0,52,8.6,238,1087,0.292,0.238,0.366,0.32,0.493,0.366,0.37,0.305,0.323,21.9,87.6,10.0,34.7,27,6.3,4.5,5.0,93.2,0.15335051546391754,0.6945876288659794,0.40463917525773196,0.44072164948453607,0.5244845360824743,0.15979381443298968,0.5399484536082474,0.7628865979381443,0.5451030927835051,0.41494845360824745,0.4072164948453608,0.5885558583106267,"{'UPId': 'sa3017915', 'PlayerId': None, 'MLBAMId': 678024, 'MinorMasterId': 'sa3017915', 'KBOId': None, 'KBOBISId': None, 'AltMMId': None, 'RRId': 'Mike Vasil', 'FirstName': 'Michael', 'LastName': 'Vasil', 'firstLastName': 'Mike Vasil', 'NameKorean': None, 'Height': 77, 'Weight': 225, 'BirthDate': '2000-03-19T00:00:00', 'Bats': 'L', 'Throws': 'R', 'Position': 'P', 'BirthCity': 'Boston', 'College': 'Virginia', 'Debut': None, 'LastGame': None, 'DeathDate': None, 'Retired': None, 'RookieSeason': None, 'CurrentLeague': None, 'HOF': None, 'UPURL': '/players/michael-vasil/sa3017915/stats?position=P', 'HeightDisplay': '6\'5""', 'Age': 25, 'AgeToday': 24, 'AgeYears': 24, 'AgeMonths': 8, 'AgeDays': 21, 'AgeDisplayOld': '24 years, 8 months, 21 days', 'BirthDateDisplay': '3/19/2000', 'DeathDateDisplay': None, 'servicetime': None, 'urlHeadshot': None, 'minSeason': None, 'maxSeason': None, 'AgeDisplay': '24 years, 8 months, 21 days'}","{'mlbamid': 678024, 'playerid': None, 'minormasterid': 'sa3017915', 'masterid': 'sa3017915', 'teamid': 25, 'minorfranchid': 325, 'transdate': '2024-02-01T00:00:00', 'tlevel': 'MLB', 'lgamedate': '2024-09-22T00:00:00', 'lseason': 2024, 'lteamid': 25, 'lminorfranchid': 27, 'llevel': 'AAA', 'mlevel': 'AAA', 'cplayerid': 'sa3017915', 'MLB_FullName': 'New York Mets', 'MLB_ShortName': 'Mets', 'MLB_AbbName': 'NYM', 'MiLB_FullName': None, 'llevel1': 'AAA'}",,678024,sa3017915,24,L,R,P,/players/michael-vasil/sa3017915/stats?position=P,New York Mets,Mets,NYM
687589,Dom Hamel,2317,579,492,374,141,86,30,2,23,123,21.2,77,13.3,252,1048,0.287,0.246,0.385,0.351,0.496,0.402,0.381,0.333,0.336,24.0,88.5,17.0,36.6,31,8.3,5.4,4.4,92.8,0.34149484536082475,0.22938144329896906,0.2847938144329897,0.19201030927835053,0.16881443298969073,0.28737113402061853,0.2925257731958763,0.2345360824742268,0.4007731958762887,0.12242268041237113,0.18943298969072164,0.5354223433242506,"{'UPId': 'sa3017949', 'PlayerId': None, 'MLBAMId': 687589, 'MinorMasterId': 'sa3017949', 'KBOId': None, 'KBOBISId': None, 'AltMMId': None, 'RRId': 'Dominic Hamel', 'FirstName': 'Dominic', 'LastName': 'Hamel', 'firstLastName': 'Dom Hamel', 'NameKorean': None, 'Height': 74, 'Weight': 206, 'BirthDate': '1999-03-02T00:00:00', 'Bats': 'R', 'Throws': 'R', 'Position': 'P', 'BirthCity': 'Chandler', 'College': 'Dallas Baptist', 'Debut': None, 'LastGame': None, 'DeathDate': None, 'Retired': None, 'RookieSeason': None, 'CurrentLeague': None, 'HOF': None, 'UPURL': '/players/dominic-hamel/sa3017949/stats?position=P', 'HeightDisplay': '6\'2""', 'Age': 26, 'AgeToday': 25, 'AgeYears': 25, 'AgeMonths': 9, 'AgeDays': 8, 'AgeDisplayOld': '25 years, 9 months, 8 days', 'BirthDateDisplay': '3/2/1999', 'DeathDateDisplay': None, 'servicetime': None, 'urlHeadshot': None, 'minSeason': None, 'maxSeason': None, 'AgeDisplay': '25 years, 9 months, 8 days'}","{'mlbamid': 687589, 'playerid': None, 'minormasterid': 'sa3017949', 'masterid': 'sa3017949', 'teamid': 25, 'minorfranchid': 27, 'transdate': '2024-03-29T00:00:00', 'tlevel': 'AAA', 'lgamedate': '2024-09-20T00:00:00', 'lseason': 2024, 'lteamid': 25, 'lminorfranchid': 27, 'llevel': 'AAA', 'mlevel': 'AAA', 'cplayerid': 'sa3017949', 'MLB_FullName': 'New York Mets', 'MLB_ShortName': 'Mets', 'MLB_AbbName': 'NYM', 'MiLB_FullName': None, 'llevel1': 'AAA'}",,687589,sa3017949,25,R,R,P,/players/dominic-hamel/sa3017949/stats?position=P,New York Mets,Mets,NYM
677976,Randy Dobnak,2308,586,510,379,128,86,27,1,14,134,22.9,63,10.8,304,1017,0.251,0.239,0.342,0.333,0.39,0.366,0.325,0.313,0.312,29.9,88.7,3.0,38.8,28,7.4,4.8,6.4,92.4,0.4729381443298969,0.44587628865979384,0.38402061855670105,0.44072164948453607,0.3917525773195876,0.7306701030927835,0.23067010309278352,0.9729381443298969,0.24484536082474226,0.24097938144329897,0.8775773195876289,0.4482288828337875,"{'UPId': '23798', 'PlayerId': 23798, 'MLBAMId': 677976, 'MinorMasterId': 'sa3005287', 'KBOId': None, 'KBOBISId': None, 'AltMMId': None, 'RRId': 'randy dobnak', 'FirstName': 'Randy', 'LastName': 'Dobnak', 'firstLastName': 'Randy Dobnak', 'NameKorean': None, 'Height': 73, 'Weight': 230, 'BirthDate': '1995-01-17T00:00:00', 'Bats': 'R', 'Throws': 'R', 'Position': 'P', 'BirthCity': '', 'College': 'Alderson Broaddus', 'Debut': '2019-08-09T00:00:00', 'LastGame': '2024-09-29T00:00:00', 'DeathDate': None, 'Retired': None, 'RookieSeason': 2020, 'CurrentLeague': None, 'HOF': None, 'UPURL': '/players/randy-dobnak/23798/stats?position=P', 'HeightDisplay': '6\'1""', 'Age': 30, 'AgeToday': 29, 'AgeYears': 29, 'AgeMonths': 10, 'AgeDays': 23, 'AgeDisplayOld': '29 years, 10 months, 23 days', 'BirthDateDisplay': '1/17/1995', 'DeathDateDisplay': None, 'servicetime': '2.043', 'urlHeadshot': None, 'minSeason': 2019, 'maxSeason': 2024, 'AgeDisplay': '29 years, 10 months, 23 days'}","{'mlbamid': 677976, 'playerid': 23798, 'minormasterid': 'sa3005287', 'masterid': '23798', 'teamid': 8, 'minorfranchid': 16, 'transdate': '2024-11-05T00:00:00', 'tlevel': 'AAA', 'lgamedate': '2024-09-29T00:00:00', 'lseason': 2024, 'lteamid': 8, 'lminorfranchid': None, 'llevel': 'MLB', 'mlevel': 'MLB', 'cplayerid': '23798', 'MLB_FullName': 'Minnesota Twins', 'MLB_ShortName': 'Twins', 'MLB_AbbName': 'MIN', 'MiLB_FullName': None, 'llevel1': 'MLB'}",23798.0,677976,sa3005287,29,R,R,P,/players/randy-dobnak/23798/stats?position=P,Minnesota Twins,Twins,MIN
592716,Adrian Sampson,2306,630,564,452,170,103,42,6,19,120,19.0,46,7.3,264,1137,0.301,0.269,0.362,0.337,0.498,0.427,0.369,0.334,0.349,23.2,88.7,13.0,37.8,26,5.8,4.1,5.7,91.1,0.21391752577319587,0.836340206185567,0.06443298969072164,0.09922680412371133,0.15850515463917525,0.24613402061855671,0.23067010309278352,0.5579896907216495,0.31829896907216493,0.5051546391752577,0.6984536082474226,0.23705722070844687,"{'UPId': '13339', 'PlayerId': 13339, 'MLBAMId': 592716, 'MinorMasterId': 'sa598288', 'KBOId': 50524, 'KBOBISId': 664, 'AltMMId': 'kr3014317', 'RRId': 'Adrian Sampson', 'FirstName': 'Adrian', 'LastName': 'Sampson', 'firstLastName': 'Adrian Sampson', 'NameKorean': '샘슨', 'Height': 74, 'Weight': 210, 'BirthDate': '1991-10-07T00:00:00', 'Bats': 'R', 'Throws': 'R', 'Position': 'P', 'BirthCity': '', 'College': 'Bellevue', 'Debut': '2016-06-18T00:00:00', 'LastGame': '2022-10-05T00:00:00', 'DeathDate': None, 'Retired': None, 'RookieSeason': 2019, 'CurrentLeague': None, 'HOF': None, 'UPURL': '/players/adrian-sampson/13339/stats?position=P', 'HeightDisplay': '6\'2""', 'Age': 33, 'AgeToday': 33, 'AgeYears': 33, 'AgeMonths': 2, 'AgeDays': 3, 'AgeDisplayOld': '33 years, 2 months, 3 days', 'BirthDateDisplay': '10/7/1991', 'DeathDateDisplay': None, 'servicetime': '2.117', 'urlHeadshot': None, 'minSeason': 2016, 'maxSeason': 2022, 'AgeDisplay': '33 years, 2 months, 3 days'}","{'mlbamid': 592716, 'playerid': 13339, 'minormasterid': 'sa598288', 'masterid': '13339', 'teamid': -1, 'minorfranchid': -1, 'transdate': '2024-11-04T00:00:00', 'tlevel': '-1', 'lgamedate': '2024-09-22T00:00:00', 'lseason': 2024, 'lteamid': 13, 'lminorfranchid': 13, 'llevel': 'AAA', 'mlevel': 'MLB', 'cplayerid': '13339', 'MLB_FullName': 'Free Agent', 'MLB_ShortName': None, 'MLB_AbbName': None, 'MiLB_FullName': None, 'llevel1': 'AAA'}",13339.0,592716,sa598288,33,R,R,P,/players/adrian-sampson/13339/stats?position=P,Free Agent,,
