Team,total_war,Top 3 Total WAR,Avg FIP,Avg ERA,Avg K-BB%
CHW,5.2522386401,3.3808800000000003,4.7970091722352315,4.607678511247105,10.094389410333497
COL,7.1914280682000005,5.25926,4.757352454363502,4.9647807473506145,10.218578074352935
WSN,9.0179672969,5.9549,4.430107924588321,4.233274505847479,11.573678091330168
ATH,9.9764912628,5.628299999999999,4.288255112902256,4.068834633673433,12.013328754840147
CLE,10.7526114801,5.74197,4.190761752015504,4.154576799577275,14.161047399656434
LAA,11.5084234578,6.92019,4.404032831253655,4.279550892207937,12.71322852711558
SFG,11.5225900888,6.788130000000001,3.9462133120116745,3.920596288212582,13.945027848626326
BAL,11.7339134139,6.70428,4.196210055285506,4.055957110558696,13.914031205256602
CHC,12.1366621343,7.54853,4.1578306691163975,4.051991321254667,14.201767795646237
CIN,12.2398249745,7.50474,4.521316234447883,4.474779322594013,13.605255959947971
MIA,12.5423733228,7.45746,4.220365669253416,4.188689995455313,12.831903775362024
NYM,12.5640769183,6.31262,4.036910369137514,3.856676737207093,14.120436672297961
SDP,12.6272653368,8.69607,4.267107022164592,4.115010147666814,13.483262042073942
ARI,12.8225640755,7.083869999999999,4.051503808932829,4.148534042608682,13.401022836631418
TOR,13.214298343500001,6.96627,4.219721712898786,4.144829370224516,13.601089960837303
STL,13.6143782775,7.66377,4.091795451458603,3.966735961644053,12.544042258510105
PIT,14.5171047575,10.62221,4.192102977168607,4.196286576714616,13.20733057533893
TBR,14.546534149800001,7.75344,4.052788455660363,3.9589838360429552,14.94714722884867
SEA,15.072404883399999,9.60011,3.9261260930139623,3.7464250377101425,15.527165834597142
KCR,15.1718927738,8.66783,4.1258242835415535,4.16523008062018,12.858938376177347
MIL,15.3695037282,7.619009999999999,4.122713976172603,4.039944250195555,14.996399483551748
DET,15.4909215946,9.16246,3.9620970766555885,3.8832124738964593,13.869185934933281
HOU,15.7447830164,8.53084,4.081671205021867,4.025107833673255,14.647737227524827
TEX,16.5034491823,9.96169,4.092549267616669,4.036591885922464,15.247623160266233
NYY,17.6325351447,9.14251,4.069742538868012,3.925631050561121,15.499277866593594
BOS,17.6945454468,10.25408,3.9364255496051235,4.0263100783313055,15.111716416654497
ATL,17.8440860443,9.857980000000001,3.8517688228520233,3.8625788049836944,16.322296673243688
LAD,18.8081131356,10.39028,4.001227685945661,3.931906405866274,16.467264287259596
MIN,19.7020982114,9.63271,3.889120107588024,3.9085792720670716,16.411436435708122
PHI,19.9319954753,11.06907,4.043146616481606,3.891731713240365,14.782892728176325
FA,27.8345979734,8.90688,4.500193929287772,4.423658429894408,11.373723198330362
