id,name,pitches,pa,ab,bip,hits,singles,doubles,triples,hr,k,krate,bb,bbrate,whiffs,swings,ba,xba,obp,xobp,slg,xslg,woba,xwoba,babip,whiffrate,ev,langle,hhrate,barrels,barrelbbe,barrelpa,chaserate,krate_p,bbrate_p,xba_p,xslg_p,xwoba_p,whiffrate_p,ev_p,langle_p,hhrate_p,barrelbbe_p,chaserate_p
670224,Kameron Misner,1613,365,311,202,72,38,18,3,13,111,30.4,50,13.7,233,724,0.232,0.215,0.34,0.326,0.434,0.342,0.34,0.302,0.312,32.2,89.4,14.0,38.1,10,5.0,2.7,4.9,0.8595988538681948,0.7521489971346705,0.28796561604584525,0.38108882521489973,0.40114613180515757,0.7922636103151862,0.7191977077363897,0.5601719197707736,0.5501432664756447,0.37106017191977075,0.4828080229226361
686531,Andre Lipcius,1500,367,330,251,97,58,18,2,19,80,21.8,35,9.5,223,739,0.294,0.235,0.362,0.31,0.533,0.413,0.385,0.316,0.336,30.2,87.6,19.0,33.9,20,8.0,5.4,4.9,0.42406876790830944,0.3022922636103152,0.5415472779369628,0.7593123209169055,0.5515759312320917,0.7091690544412608,0.42120343839541546,0.8839541547277937,0.3667621776504298,0.6819484240687679,0.4828080229226361
687799,Cade Marlowe,1486,359,305,195,68,47,8,3,10,117,32.6,45,12.5,232,719,0.223,0.197,0.32,0.301,0.367,0.366,0.306,0.296,0.314,32.3,87.7,21.0,32.3,17,8.7,4.7,4.9,0.9183381088825215,0.6532951289398281,0.1332378223495702,0.5100286532951289,0.33954154727793695,0.7994269340974212,0.4383954154727794,0.9412607449856734,0.29512893982808025,0.7263610315186246,0.4828080229226361
682877,Juan Brito,1485,380,317,261,80,46,21,0,13,58,15.3,55,14.5,140,659,0.252,0.228,0.371,0.351,0.442,0.371,0.359,0.325,0.27,21.2,88.5,17.0,36.0,16,6.1,4.2,4.0,0.09025787965616046,0.7936962750716332,0.4455587392550143,0.5315186246418339,0.6332378223495702,0.19627507163323782,0.5888252148997135,0.7535816618911175,0.4656160458452722,0.502865329512894,0.23925501432664756
681146,Jonah Bride,1461,330,262,209,70,44,14,1,11,56,17.0,60,18.2,79,486,0.267,0.252,0.409,0.398,0.454,0.373,0.382,0.349,0.298,16.3,87.2,7.0,36.4,12,5.7,3.6,3.1,0.15472779369627507,0.9627507163323782,0.7693409742120344,0.5458452722063037,0.8524355300859598,0.054441260744985676,0.3681948424068768,0.11318051575931232,0.4828080229226361,0.43982808022922637,0.09455587392550144
664247,Kyle Garlick,1460,384,334,240,83,50,14,1,18,99,25.8,40,10.4,198,674,0.249,0.223,0.333,0.316,0.458,0.386,0.344,0.313,0.293,29.4,88.6,17.0,38.8,22,9.2,5.7,5.3,0.663323782234957,0.37392550143266473,0.36103151862464183,0.6045845272206304,0.5257879656160458,0.6504297994269341,0.6074498567335244,0.7535816618911175,0.5988538681948424,0.7693409742120344,0.5873925501432665
682183,Drew Avans,1453,361,315,223,87,57,17,7,6,93,25.8,43,11.9,192,683,0.276,0.251,0.366,0.345,0.432,0.4,0.351,0.331,0.373,28.1,90.0,13.0,42.6,11,4.9,3.0,4.6,0.663323782234957,0.5687679083094556,0.7550143266475645,0.6790830945558739,0.6977077363896849,0.5716332378223495,0.8194842406876791,0.47277936962750716,0.7621776504297995,0.3553008595988539,0.39111747851002865
700242,Trey Sweeney,1452,374,330,232,81,49,18,3,11,100,26.7,39,10.4,185,654,0.245,0.226,0.329,0.314,0.418,0.342,0.328,0.295,0.317,28.3,91.1,11.0,45.3,16,6.9,4.3,4.1,0.7277936962750716,0.37392550143266473,0.4154727793696275,0.38108882521489973,0.32664756446991405,0.5802292263610315,0.9326647564469914,0.3223495702005731,0.8638968481375359,0.5601719197707736,0.2793696275071633
805367,Chase Meidroth,1449,341,265,231,81,62,16,0,3,38,11.1,64,18.8,53,456,0.306,0.246,0.449,0.404,0.4,0.319,0.385,0.339,0.342,11.6,88.2,3.0,31.6,4,1.7,1.2,2.1,0.034383954154727794,0.9742120343839542,0.7063037249283668,0.2593123209169054,0.7765042979942693,0.011461318051575931,0.5243553008595988,0.024355300859598854,0.2664756446991404,0.07593123209169055,0.011461318051575931
694175,Pedro León,1430,365,321,230,96,59,21,1,15,93,25.5,32,8.8,213,697,0.299,0.248,0.378,0.333,0.511,0.421,0.385,0.332,0.377,30.6,88.6,15.0,43.5,26,11.3,7.1,4.9,0.6446991404011462,0.24641833810888253,0.7263610315186246,0.7936962750716332,0.7091690544412608,0.7306590257879656,0.6074498567335244,0.6318051575931232,0.8065902578796562,0.8710601719197708,0.4828080229226361
613564,Jason Vosler,1402,353,313,236,88,53,14,3,18,80,22.7,30,8.5,162,671,0.281,0.275,0.352,0.348,0.518,0.482,0.374,0.357,0.321,24.1,89.9,18.0,41.1,24,10.2,6.8,5.3,0.4828080229226361,0.2134670487106017,0.9469914040114613,0.9484240687679083,0.8982808022922636,0.32951289398280803,0.8037249283667621,0.8180515759312321,0.6848137535816619,0.833810888252149,0.5873925501432665
682073,David Hensley,1384,329,277,193,64,39,18,1,6,84,25.5,51,15.5,96,474,0.231,0.243,0.353,0.365,0.368,0.353,0.326,0.326,0.31,20.3,91.6,0.0,50.3,11,5.7,3.3,2.5,0.6446991404011462,0.8710601719197708,0.6762177650429799,0.43123209169054444,0.6432664756446992,0.17048710601719197,0.9555873925501432,0.004297994269340974,0.9813753581661891,0.43982808022922637,0.0329512893982808
665846,Jesús Bastidas,1384,380,335,256,91,47,25,1,18,82,21.6,28,7.4,208,752,0.272,0.237,0.35,0.323,0.513,0.405,0.372,0.321,0.307,27.7,88.1,21.0,37.5,18,7.0,4.7,6.9,0.4154727793696275,0.1318051575931232,0.5702005730659025,0.6977077363896849,0.5959885386819485,0.5429799426934098,0.5100286532951289,0.9412607449856734,0.5286532951289399,0.5730659025787965,0.8710601719197708
669392,Samad Taylor,1361,300,246,162,58,44,8,1,5,90,30.0,45,15.0,152,548,0.236,0.197,0.353,0.329,0.337,0.279,0.314,0.287,0.338,27.7,85.1,11.0,28.4,4,2.5,1.3,4.7,0.8510028653295129,0.830945558739255,0.1332378223495702,0.0830945558739255,0.23209169054441262,0.5429799426934098,0.10888252148997135,0.3223495702005731,0.17048710601719197,0.14040114613180515,0.42120343839541546
676625,Rylan Bannon,1358,330,267,194,67,38,13,1,15,75,22.7,59,17.9,183,612,0.251,0.22,0.388,0.366,0.476,0.364,0.378,0.335,0.291,29.9,89.1,15.0,42.3,13,6.7,3.9,4.5,0.4828080229226361,0.9541547277936963,0.32951289398280803,0.498567335243553,0.7406876790830945,0.6862464183381088,0.6776504297994269,0.6318051575931232,0.7449856733524355,0.5458452722063037,0.3667621776504298
