id,name,pitches,pa,ab,bip,hits,singles,doubles,triples,hr,k,krate,bb,bbrate,whiffs,swings,ba,xba,obp,xobp,slg,xslg,woba,xwoba,babip,whiffrate,ev,langle,hhrate,barrels,barrelbbe,barrelpa,chaserate,krate_p,bbrate_p,xba_p,xslg_p,xwoba_p,whiffrate_p,ev_p,langle_p,hhrate_p,barrelbbe_p,chaserate_p
670224,Kameron Misner,1827,411,349,225,83,43,22,3,15,126,30.7,56,13.6,271,824,0.238,0.214,0.348,0.328,0.447,0.347,0.348,0.305,0.324,32.9,89.2,15.0,38.2,13,5.8,3.2,5.1,0.8929765886287625,0.7274247491638796,0.25418060200668896,0.3979933110367893,0.40635451505016723,0.8327759197324415,0.6939799331103679,0.5919732441471572,0.5618729096989966,0.44816053511705684,0.5535117056856187
686531,Andre Lipcius,1713,419,375,286,107,67,19,2,19,91,21.7,41,9.8,251,835,0.285,0.235,0.356,0.311,0.499,0.403,0.368,0.312,0.33,30.1,87.2,19.0,32.5,21,7.3,5.0,5.0,0.4397993311036789,0.32274247491638797,0.5618729096989966,0.7157190635451505,0.5050167224080268,0.7157190635451505,0.36789297658862874,0.8762541806020067,0.30434782608695654,0.5836120401337793,0.5234113712374582
682183,Drew Avans,1698,419,361,253,95,63,18,7,7,109,26.0,55,13.1,225,783,0.263,0.248,0.363,0.351,0.41,0.386,0.342,0.329,0.358,28.7,89.5,12.0,41.9,13,5.1,3.1,4.5,0.6822742474916388,0.6956521739130435,0.7140468227424749,0.6103678929765887,0.677257525083612,0.6187290969899666,0.7508361204013378,0.3729096989966555,0.7441471571906354,0.35618729096989965,0.38127090301003347
682877,Juan Brito,1678,428,355,290,90,51,25,0,14,68,15.9,63,14.7,167,750,0.254,0.229,0.374,0.354,0.442,0.373,0.359,0.326,0.275,22.3,87.9,18.0,34.5,19,6.6,4.4,3.7,0.09698996655518395,0.8193979933110368,0.44816053511705684,0.5418060200668896,0.6622073578595318,0.25752508361204013,0.4765886287625418,0.81438127090301,0.3762541806020067,0.5301003344481605,0.18896321070234115
805367,Chase Meidroth,1670,391,305,265,88,67,17,0,4,44,11.3,72,18.4,58,517,0.289,0.243,0.435,0.4,0.384,0.319,0.373,0.337,0.322,11.2,88.2,4.0,32.1,4,1.5,1.0,2.2,0.03177257525083612,0.9698996655518395,0.6521739130434783,0.21237458193979933,0.7525083612040134,0.010033444816053512,0.5250836120401338,0.02508361204013378,0.28762541806020064,0.05852842809364549,0.011705685618729096
700242,Trey Sweeney,1653,424,376,264,98,60,22,3,13,115,27.1,41,9.7,215,757,0.261,0.235,0.337,0.316,0.439,0.36,0.338,0.302,0.339,28.4,90.9,10.0,45.5,20,7.6,4.7,4.7,0.7575250836120402,0.3110367892976589,0.5618729096989966,0.451505016722408,0.3612040133779264,0.6003344481605352,0.9280936454849499,0.22408026755852842,0.8913043478260869,0.6187290969899666,0.4230769230769231
687799,Cade Marlowe,1650,402,339,213,78,53,8,4,13,133,33.1,52,12.9,260,798,0.23,0.198,0.333,0.308,0.392,0.37,0.32,0.302,0.325,32.6,88.1,21.0,33.3,20,9.4,5.0,4.8,0.9498327759197325,0.677257525083612,0.10033444816053512,0.5167224080267558,0.3612040133779264,0.822742474916388,0.5100334448160535,0.9414715719063546,0.3311036789297659,0.782608695652174,0.4414715719063545
694175,Pedro León,1605,410,359,254,107,65,21,2,19,108,26.3,36,8.8,247,790,0.298,0.248,0.378,0.335,0.526,0.434,0.389,0.337,0.374,31.3,88.8,14.0,43.7,30,11.8,7.3,4.9,0.7023411371237458,0.2408026755852843,0.7140468227424749,0.8444816053511706,0.7525083612040134,0.7775919732441472,0.6354515050167224,0.5167224080267558,0.8127090301003345,0.8979933110367893,0.4765886287625418
664247,Kyle Garlick,1588,420,365,265,95,55,17,2,21,106,25.2,44,10.5,214,733,0.26,0.229,0.343,0.321,0.49,0.401,0.358,0.321,0.303,29.2,88.6,16.0,39.6,25,9.4,6.0,5.4,0.6254180602006689,0.3963210702341137,0.44816053511705684,0.6956521739130435,0.6070234113712375,0.6638795986622074,0.5936454849498328,0.6638795986622074,0.6220735785953178,0.782608695652174,0.6237458193979933
665846,Jesús Bastidas,1545,422,371,282,96,48,26,1,21,92,21.8,33,7.8,234,840,0.259,0.232,0.341,0.321,0.504,0.402,0.364,0.319,0.287,27.9,88.0,21.0,37.9,20,7.1,4.7,6.8,0.44481605351170567,0.15217391304347827,0.5150501672240803,0.705685618729097,0.5735785953177257,0.5735785953177257,0.49331103678929766,0.9414715719063546,0.5434782608695652,0.5735785953177257,0.8745819397993311
613564,Jason Vosler,1543,392,350,268,101,61,17,3,20,85,21.7,32,8.2,180,755,0.289,0.274,0.355,0.343,0.526,0.471,0.378,0.351,0.327,23.8,89.4,18.0,39.2,26,9.7,6.6,5.5,0.4397993311036789,0.1806020066889632,0.9414715719063546,0.9297658862876255,0.882943143812709,0.32608695652173914,0.7357859531772575,0.81438127090301,0.6003344481605352,0.8076923076923077,0.6588628762541806
670231,John Rave,1532,368,318,239,89,50,21,3,15,83,22.6,44,12.0,154,627,0.28,0.239,0.367,0.335,0.506,0.397,0.375,0.325,0.33,24.6,87.6,11.0,34.7,22,9.2,6.0,4.3,0.4882943143812709,0.5702341137123745,0.6153846153846154,0.6739130434782609,0.6521739130434783,0.36622073578595316,0.42474916387959866,0.28762541806020064,0.4013377926421405,0.7642140468227425,0.3210702341137124
686765,Nick Sogard,1532,374,317,242,85,55,17,1,12,77,20.6,52,13.9,131,617,0.268,0.245,0.374,0.356,0.442,0.358,0.359,0.323,0.317,21.2,86.8,13.0,29.8,11,4.5,2.9,3.6,0.35618729096989965,0.7558528428093646,0.6672240802675585,0.4331103678929766,0.6220735785953178,0.18394648829431437,0.2959866220735786,0.44481605351170567,0.19899665551839466,0.30434782608695654,0.17224080267558528
669392,Samad Taylor,1529,339,279,184,66,50,9,1,6,101,29.8,49,14.5,176,623,0.237,0.208,0.354,0.337,0.341,0.299,0.315,0.297,0.337,28.3,85.7,12.0,28.3,6,3.3,1.8,4.6,0.8612040133779264,0.8010033444816054,0.1806020066889632,0.12374581939799331,0.31270903010033446,0.5953177257525084,0.1705685618729097,0.3729096989966555,0.15551839464882944,0.1956521739130435,0.4013377926421405
670870,Yunior Severino,1515,378,320,216,83,55,10,2,16,107,28.3,53,14.0,237,668,0.259,0.234,0.365,0.347,0.453,0.409,0.358,0.337,0.335,35.5,90.4,9.0,44.4,23,10.6,6.1,5.8,0.8076923076923077,0.7625418060200669,0.5451505016722408,0.754180602006689,0.7525083612040134,0.9180602006688964,0.8779264214046822,0.18394648829431437,0.8545150501672241,0.8662207357859532,0.7190635451505016
670148,Nate Mondou,1507,381,323,252,89,58,19,7,5,75,19.7,46,12.1,158,741,0.276,0.245,0.375,0.35,0.424,0.332,0.352,0.31,0.34,21.3,86.2,14.0,27.4,7,2.8,1.8,5.9,0.30267558528428096,0.5852842809364549,0.6672240802675585,0.3277591973244147,0.46488294314381273,0.19063545150501673,0.2157190635451505,0.5167224080267558,0.12709030100334448,0.1488294314381271,0.7374581939799331
663905,Travis Blankenhorn,1502,385,341,241,80,38,21,1,20,102,26.5,36,9.4,233,777,0.235,0.211,0.317,0.299,0.478,0.393,0.343,0.305,0.271,30.0,89.4,17.0,41.1,28,11.6,7.3,6.3,0.7140468227424749,0.28762541806020064,0.22909698996655517,0.6438127090301003,0.40635451505016723,0.7107023411371237,0.7357859531772575,0.7391304347826086,0.7140468227424749,0.8862876254180602,0.7926421404682275
